	该休息的、该飞的，该公海的人就早走了。今天散户还在坚持。
	常飞知道了是吧？有好多人给我发常飞，你们选的对吧？发长飞的作业。然后有人是中间是下车了，有人拿到现在，然后又有人放飞之后说这个我就看白线，我说可以，没问题，没没问题。一月份的长飞跟屋，一个月都涨不错。对，有有多少人吃到长飞了？长飞有多少人自己选上了？亨通也吃上了，可以。
	当时这位置是吧。
	亨通这位置第一，一路拿起来，差点被洗，只拿了中天。我都我最近休假都没看盘，我都没看盘，中间也行，中间也是。天啊，这不也可以吗？嫌少是吗？
	这厉害了，记得这个万朗当时是在这块儿，对吧？万朗当时这块儿就下去了，当时这块儿异动起来是吧？我记得你们也问过我，然后后来就掉下了这儿来了一个击穿对手盘，看看这儿，击穿对手盘，然后一路34、61，**翻番了。可以，这有鼻翼吗？**漂亮鼻翼可以。
	1月28. 
	离京那天，这你们有人，万朗吃上了，很好很好啊，很好，可以，这就非常标准，这都基本无痛，**真好。你看第一波，缩量下来呼吸，第二波**，然后直接在顶部缩半量，几乎然后下来给1比1，完美，完美，对吧？特别好看，没错，真好。所以万万朗吃上的打个一，我看看万朗吃上的打个一。这真漂亮，而且你看后亮也比前量高，看到了吗？后量比前量高，然后在低位重新启动的时候，**这可以，这真的很完美，可以是吧？长城有太多不重要，这跟厂长太多有什么关系，十张完美图都有这个。
	那这不就标准的娜娜图吗？是不是可以表扬你们。
	表扬你们。
	吃上的盘子，盘子太小，你不要求太高了。你这个。
	在这个位置。
	我盘的大概它应该是在40，大概应该是40亿，40亿没什么问题，你华南药城起来的时候也是大概三四十亿。我跟大家说，优先是图形的漂亮程度。对，借口太多了是不是？我就要说这个就是借口太多了，你们这个不能说选一个哟，这也那那能这也能这也能这能没有完美，没有那么方方面面都都都那么极致完美的，没有，有的话可能也不长，怎么说。
	都是对的。
	你看是这样，哥们儿，所以说我今天咱们就是一个节前的答疑，我觉得你这个弹幕特别好，反映的就是散户标准的心态。说怎么说都是对的。实际上这个世界本来无论怎么样，就是怎么说都是对的。无论是历史还是现实，还是新闻，还是所有东西。如果你不是一个小孩，你就会知道这个世界本来就是什怎么就怎么说都是对的。对，没赚到钱了是吧？
	你看这世界本来就是说你行你就行不行也行，说说说说说你不行，行也不行。但凡有点儿社会常识，应该都能理解我说这句话。而且最关键的是什么？最关键的是咱们有一个总原则，叫什么完美图形干错也要干，对吗？
	说比如说在这个位置上，这也是一个完美图形。但是给B一了吗？咱们看一下，这是二十八，没给B1，没给B1，说这要是个B一问你这个完不完美。然后你说盘子太小不干可以，没有问题，一点儿问题都没有。你说不行，这个盘子太小了，这个图形挺完美，但是盘子小不干就可以。可以，但是你不要抱怨，就是这点你不要抱怨，那么在这个位置也是。
	在这个位置。
	在这个位置连白线都没下，完美一看才3 41，就觉得这不行，不干可以，没有问题，哥们儿一点问题没有。那你就在70亿80亿或者100亿以上去找，找到完美的也干。干完以后，比如这个涨了***40%，你选的只涨了4%。别抱怨啊不要抱对说不抱怨，小盘我碰，没准这个篮子特别好。这就是一个你的收益和你的这种预期收益率，它实际上是绝大部分来自于你前期的。
	你的策略是什么。
	说因为事实没想到真不办特别好。哥们儿你这个思路就你这个思想才是对的，你这个思想才是对的。就比如说咱们之前说了，小市值尽量不要碰，对吧？为什么？这是基于风控的考量，对盈亏同源没有特别好啊，绝大部分人还是这个认知是没问题的。就是盈亏同源在于如果你的心态不支持一个票上下波动10%、20%，那么你就在大的里边找农行连续回调十天也就跌个10%，或者也就跌个8%，那可以没问题。但是要这玩意儿小玩意儿连续跌个十天，**跌个30%你能不能忍啊不要抱怨，看看自己错在哪里，下次再干一辈子的事情。
	其实不对，就是我刚才那那个那弹幕那哥们儿因为每次都会有这种，是这样，就是说我再说一遍，任何的做股票没有百分百的事情。就无论是巴菲特还是芒格，还是中国的谁谁谁没有人。如果真要有一个人有这样的话，那他可以把市场里面所有钱都给赚了，对吧？说***这个方法百分百就***没问题。没有。
	很多很多人你们在上学的时候都是特别好的，985211的学生都是特别好。然后每次考试解题都都特别棒，尤其上了这个就你们一般学物理学数学的。龙队也不行，龙队要行，4月7怎么出来的？别闹了，一写写一黑板。
	但是一到股市。
	里边就懵了，因为老希望有一个方法在股市里边就可以一劳永逸就可以。我只要从A导到了B那么最后B一定就能导出C没有，而是B有可能导出C有可能导出D有可能导出F而我们要做的就是针对DEF这3种可能性做出一个选择跟预备。有人说对这个是第一种就是你本身就是学霸，你的脑子是基于做题的思维。第二种是什么？是你在这个日常的学习当中，可能就九年制义务教育，后面可能普普高也没有考上，然后去别的。然后为什么？因为没有一套系统学习方法，或者说本身能力相对有限。那么你进到这个市场里边，实际上你要琢磨的更是什么？更是各种解决方案，而不是希望于说你考试就不行。
	然后到了市场里边嘣，你他妈操作两下扒，天天抓涨停很难。对，不羡慕弱水3000只取消特别好啊，绝大部分人还还是还是可以，就这是一个先就是这是一个先天的。如果你进入这个市场，你首先你要明确的就是这个思维，这个可靠吗？
	不可靠。对，只应对是这样。
	所以比如说这张图出来这张图出来非常完美的十张。
	图里面。
	都能找到这种图的影子。什么最近什么古巴里面黑我的，为什么黑我？黑我什么？我不看我从来不看古巴黑我什么，有么可黑的。
	所以还是今天正好我在一开始预备的有一个问题是在是想什么？比如说我看有人这个有人发这个，就是你们还那你们还在盯着古巴是吗？就是你们还要跟臭棋篓子一起下棋是吗？我我我不关注，我只知道咱们家这个二楼的人越来越多，就是我后台数据，我只是看我二楼人越来越多，而且我后台你们这一把给我每天交交作业，等于这礼拜的反弹又特别集中性的呜呜来了，呜嚷呜嚷的，什么这个长长长天，刚才你们说长天一个万朗，还有一什么还有一个操还有一个一个因为这礼拜我没我两两礼拜没看盘了，还有一个就是你们这三个票特别集中，今天人少。对，很多人在回家路上，所以很多人后来给我发消息说Z哥今天千万别讲，别讲特别干的。在回家路上我说熊，对，有一亨通，还有一个不是长长。
	月大大大美。
	对我都没看啊。对，戴美。对对对，18.7一个6.16，说重仓吃爽了，说这个看懂了，说这个看懂了，对吧？这开始B1，这两天都是B1，然后就洗了一天1.57，然后咣咣两根。
	对对对，带美，戴美，所以特别好，就是已经开枝散叶了。咱们说已经从六月份带到现在一月底，就二月份，七个月确确实实已经有一批朋友出来了。这个非常的高兴，有一批。所以说你能不能多跟这些朋友去去去在一起，而不要去什么古巴里边那帮臭七篓子去宣，没没必要。哥们儿，别轩桢在得，你看就又说我宣了，明天跌了，跟我没关系，行吗？这边编对野马图是吧？
	真好啊。
	所以说你说如果你。
	要是。
	想在市场里边挣钱，还是最早说的三点，一走在正确的道路上。二摒弃掉各种各样的杂音。第三个坚持，无论是坚持的学、坚持的选、坚持的交易、坚持的止损、坚持的反复练习，无论是怎样一直在上坚持下来，你就能够熬掉很多人。
	戴美30%什么你从底下拿的，你从这儿拿的这没有，这是十**，10.89，这也是，但这儿放量了，不太好，不太好。但是这儿来了一个B2对吧？你们戴美B2进的是吗？**B2可以，这是个B2。1月14号楼是个B2。对，很漂亮，放量对吧？倍量柱B2倍亮度很好啊，很好。你看你们现在你们都能教我了，是不是？还有B3吗？**上面有1B3。
	对**，可以，你们鼠标给你们行吗？鼠标给你们，今天晚上鼠标给你们。你们讲今天我主要是听你们来来总结好不好？
	三件套对吧？你看很完美。你看B1，但是B一不是太那什么，因为这个放量了，咱们说B一你犹豫一下，纠结一下是可以的。这个是被梁柱的B2，非常完美对吧？咱那B二的几种方式，这都已经讲了。
	然后第三缩量，**漂亮小十字星是不是？而且1.14整个振幅在3.55，漂亮是吧？然后满足呦呦**这你们可以，然后拿牵牛绳一牵对吧？那起来可以，我看多少，30%帧，30%可以。所以这把做到戴美的，然后刚才说那个做到中天的，不飞天棚中中天飞飞飞天中天，还有刚才那个都可以。你们一定要把这种感觉记下来，刻在你的脑子里面，下次遇到这种票就是不用过脑子，崩就轮崩就干就完了。
	说比如说咱们说说你比如你这个位置，你这个位置B1，咱说戴美B一说你这位置B一进的十块，对吧？然后你白线止损你就抡，到白白白线也没破你就抡，你怕什么，对吧，你攻击就起来。光线好看，你们想去救那两百亿吗？今儿都救完了。
	光线没了。
	光线结束了，大概率又这把人给他救了一下，救了200亿，这儿救了200亿，今天成交量多少？138亿，可以救了一半人出来，那剩下就靠你们了，靠你们前赴后继的去救，好不好？这怎么进这怎么进？我看看你们刚才说的光线吗？我看这怎么进，有1B1对吧？但是你这个位置进B1，有点早，这就得得结合题材了，结合题材，结合板块，但是没什么问题，因为是金叉了，看见没有金叉，就是白线也在黄线之上。然后这有个B那你挺能拿。不过这一路也挺流畅的，还真挺流畅的是吧？
	录起来56%，这你们有有人有人这么难吗？敢想敢干，这你们有人敢这么难，可以，为什么要早？是因为它一路起来，它是在这个位置放的量这个位置放的量，而不是在这个位置放的量。所以这个位置进来你会发现这一溜下来洗下来像不像？像不像新前锋？发现没有？这一路是没有怎么起量最高，这个来一个亮。一路下来，其实你看新前锋的这这张图是不是跟。
	是不是跟高原传媒是一样的？是不是非常像对吧？非常像，而且也金叉了也金叉了。所以说当你看图选出来之后，这里面就会有两个问题。一个是你要二选一，你有可能就会选错，而且大概率会选错。比如说你受我影响同样的图，比如这一天选了一个B一对吧？这张图跟刚才的新先锋两张图，我估计你们都会喜欢新先锋。
	为什么？因为老听我天天不停的跟着说，然后外加队偏见偏见。这个光线你会想阿里哥说我上面有2 200 200 200多亿这会不会给他们解去给他们解套？大概率不会。然后咱家有很多朋友应该是看过我写的那个七篇文章，七篇文章在古探报告里面的七篇文章，这就是我其中说的偏见，就是你会对你操作这个票形成一个偏见，这就是偏见，不是偏见，是亲情。哥们儿不管什么，亲情也是偏见的一部分。所以就是这样，大家去看一下，我骨炭报告的那七篇文章，里边专门就有写，就不对，不要抱有偏见。
	比如你比如比如刚才小盘其实也是这样的小盘。你说你不碰小盘，那实际上三月份之前市场就是炒小盘。然后在在十一之后，然后基金排名的时候，公募私募基金排名的时候也是炒小炒诈，那都是炒小盘。
	比如说你要在上一波炒小盘的时候，你下意识我一买就亏，一买就亏，那这把再出来漂亮独行跟小潘你又不敢碰了，但你往往前往前捋到华南药厂的时候，微新生物的当时也是小盘，也是二三十亿的盘子。所以其实就是说回来一定要还是要聚焦在完美的图形上面。360是吗？360怎么的，又这怎么了？
	到这儿反弹了吗？
	你这买没依据，对吧？你360你这一路下来以后没有依据。你你你就通过什么方法能吃到这一波反弹呢？你只有一种方法，就是这儿买了被套了，你这儿买被套在这儿你也动不了。然后你跟着一把揉起来了，揉起来以后，然后这根S一看懂了，对吧？就是这根疑似S一看懂了，你一走，然后平盘出来，这是可以。你要说从做盘的依据买，那么***就全市场五千多个票的都有这种东西，套的也吃不到。
	许记是吗？有怎么了？有什么问题吗？我始终认为像这玩意儿都就是还没开始，这都没开始，这稳稳的就没开始，我说走势稳稳的，没开始，所以咱们今天说复盘第一个大家记住偏见，偏见这个是很大的一个噪音，然后没有解决方案，没有解决方案，那你偏见就是偏见，但是说拼那个也是那个那个噪音的一部分。
	所以说像比如说我跟大家再举个例子，比如说你看我现在这个页面，我在选股的时候，你看我的右上面这个筹码的一个位置，我鼠标筹码这个位置，它上面是通达信的话，这块是名字对不对？我自己平时，比如说以前在选股的时候，我都是把右边的名字我给它盖住的。我或者我不算盖住了我眼睛我不看这个名字，我不看名字，我就是在看左边的图形，最后是哪个图形漂亮。在左在漂亮的图形里边不考虑名字，不考虑板块，不考虑乱七八糟的。
	这样的话你可以从实践角度来讲，可以增强你的二选一总选错的这个总选正确的概率。所以咱们接着刚才开始的话题，你们已经是上二楼的朋友了，你们上二楼的朋友一定是想往上走走，对吧？试试看看啊。所以你看咱们。
	随着咱们。
	的这个二楼的直播数量越来越多，就是中间老有中间加入队伍的那中间加入队伍的话，你前面没有系统的听下来，你就会要么会串，要么会乱。要要么要么要么会对很多产品基础知识是没有概念的。就是说咱们最早是不是没有提市值这件事情？最早没有提。因为我以前我玩的就是小市值100的票，我的量我的我的量化交易系统很多都是围绕在小市值100。就是你把市场整个排序，排序完了以后，你从最小市值从上往下捋，从最小的往往下捋100个。你把这100个，只要市场调整时候，你把这个100个81建仓，一打一包一建仓。只要市场涨，只要不是说当年走成28行情，那种一直是茅台、格力这么去讲的话，基本上只要市场有行情，小时是100，一定它的阿尔法是最高的。
	然后比如咱们最早从来没有说在选股里边加入市值的因素。后来是有一段时间小市值的票，比如大家选择小值的票，经常是没有走出来，而且它的波动率是比较大的。所以我说OK防范风险稳健的情况下，50以下不要看，咱们都是慢慢的补丁打上来的。就比如这回同样的图形，如果一个40亿，一个80亿，你选哪个都没问题。我还是要再说一遍，还是结合刚才像这种弹幕的朋友啊，我再说一点，就是说这个市场里边没有说唯一的一种方法就能那没有就是当你有一个方法在市场里边一段时间相对成功率比较高的时候，市场本身会进化掉。否则的话就会有一个人挣完世界所有的钱，所以这是不可能发生的事情。
	你不要希望于说有一个方法就可靠吗？不可靠，没有一个完全可靠的什么什么方法，没有，大家都是顺势的做。比如最近有些人做B2成功率高，然后有些人做B一成功率高，有的做B3。为什么？这是市场的风格。你不可能说你前三个月做B一特别牛逼，在做B2的时候，不下三个月比一还牛逼，那不一定，这不是风格切换，这个风格切换没关系，这跟市场的节奏有关。
	为什么？比如说你第一选烬的，过去三个月选B一长得都都特别好。那长得都特别好理由，市场里边因为每天有很多人无数人，成百上千万的人都在背后琢磨，这他妈这怎么买的，我下次我要买在这个位置上，然后一帮人下次就都买在那个位置上。而这个票为什么能涨？就是因为筹码相对不是集中在散户那块，而是集中在主力的手里，集中在麒麟贵的手里。所以说当一个短期的不能说拥挤，应该讲就是一个适应，永远是适应症。
	比如说前三个月B一好，后三个月B一不行，B2行了B2行了，然后就会有帮人研究，B2这方法可以做突破。然后一堆人做了突破之后发现这个人赚钱，好像下班再来一个人哟B2又不行了，又发现还是B。所以说是这样，你去看任何一个无论是比赛还是什么，还是各种实实盘的冠军，还是你去看他们所有的交割单，或者是公募基金或者私募基金的那种冠军。你看他们的交易一定不是每一轮都能够踩对，而是在某一轮里边重仓某一轮完全他对那波节奏坑起来。就比如说。
	如果说。
	去年是指数贡献，那今年有没有可能就是炒作炒诈？那么去年指数贡献的那帮公募基金，他们到今年最后他们有可能是排名后10%。去年10%前10%的，今年排名是后10%。
	每次都是这样，对足球风格也是。当有人通过TT打卡，我纯控特别牛逼的时候，很多人趋之若鹜在学，然后也不考虑自身度，都在学学完之后突然间在某一年世界杯发现那种糟糕笨拙力量型的给他冲垮，那种冲西班牙给他冲垮了，无非就这可以。我发现***们国家没有那么多骚高闷壮的，也没有那么多那个什么的，怎么办呢？又又又又又回来，也就说不可能永远有一个。
	我最早94年世界杯的时候，巴西是424，你能想象吗？就是足球这项运动，就是1 1994年打的是424工厂，你能能想吗？然后包括在后面的98年，荷兰打的是343全攻选手的阿贾克斯，对，一代版本一代神。
	就是说这个市场，它或者一项运动，或者人类社会，它不可能就靠一个制度能够一直或一个策略或者是一个规律就能没有的没有的对，最早什么？最早80年代是英格兰的442对吧？然后是532，然后是343，然后是352对吧？然后是这个什么4231是意大利开始的，4231加督索，加安布罗西尼，是吧？那个麦有点干扰，不会吧？麦正常吗？麦正不正常可以吗？
	麦卖正不正常，对市场唯一不变的就是一直在变，真有点儿是吗？炸卖有点干扰是什么意思？有滋啦滋啦声音是吗？
	我炸了是吗？我调一下，我调一下，别急。
	就是听着断断续续。
	的电流声。
	断断续续。
	现在可以吗？现在还有我们声音吗？可以吗？
	现在。
	行吗？就喜欢这种粗粝感是吗？不咱还是还这还叫至臻完美，好吧？可以了是吧？就OK，那咱咱咱继续，咱继续聊到哪了？刚才聊聊。
	哪儿了。
	刚聊聊哪儿了。对，这个后面沙发很熟悉，是不是？这去年就是辞刻吗？恰如彼时彼刻对吧？对，就一直世界就是在动态的变化，那么结合到盘面来讲的话，其实特别简单的一个道理就是什么？
	就是说为什么给大家的是B1、B2、B3和单帧加20，很多朋友应该已经有感觉了，发没发现当活跃市值第一波起来的时候，从底下起的时候，那会儿是B1。因为市场里面绝大部分票，绝大部分的主力，或者绝大部分的增量资金，人家他们肯定从底下轮是吧？然后当市场经过一个11个2礼拜都没有便宜的票的时候，都基本底下起来之后，这会是什么？该做B2了，该做突破了，对吧？然后B2做完之后，你还再去选B1，没那么多趴在底下的票了。
	说如果市场已经进入到第二阶段的时候，你再去八大B1，相当于什么？相当于这票***真的是无人问津，就是大哥们都来了，大哥们都都挑完了，你就想最后是第八组、第九组、第十组。挑完三轮之后的第八组、第九组、第十组，你说哥们儿我一定要在这边我挖掘一个，我觉得不是很容易就是弱。对，说明这一波这帮就是弱，就是不行。
	所以你看。
	该做B2了，B2完了以后，起来之后也会分化。有些是短期见顶波段，见见波段顶，或者小顶或者是冲刺，会有分化，会有分化，一部分是BB3对吧？接着往上控盘，接着往上走一部分就熄火对吧？这是第三阶段。这下听懂了，哥们儿你新来的是吗？咱们不是以前讲过B1、B2B3的逻辑吗？
	然后第三完之后，市场一直走的时候，就是我在三周前，还是觉一月份给大家我说这段时间的单帧下20，咱们升级成单帧下30，记不记得？那么就是在B一也没了，B2也没了，B3也没了，很多都进入到主升过程当中时候，你想上车怎么办？单针下20，你们起的名字叫补票战法，叫补票战法。
	所以那就是等于说一般这个四个阶段都弄完之后，基本上大盘就差不多了，就这个波段大盘就差不多了。比如说现在这个阶段是干嘛？现在这阶段不就是开始有一些票是B一吗？对不对？比如你们自己论的那个那那那那些玩意儿就开始有逼的，或者又开始可能春节后回来开始可能有B2。所以说我给大家的这这几种方法就可以非常动态的适应整个市场的一个情况。
	比如说你有你。
	有100个，比如说你有100个话201000个仓，你可以建五个仓。比如说当活跃市值翻身向上了以后，你肯定是选5个B1轮进去，对吧？那么你5个B1轮进去可能有2个B1转化成B2了，然后后面有一个B2转化成B3了。如果发现市场里面很多票都是都都都是已经进入到B2情况的时候，你就别再去扒拉那个B一了，或者你把你手里不长的逼你琢磨就给它换掉。在强壮的宝宝里边去找。所以咱们今天算是叫叫答疑补漏。
	其中一点就是B1、B2、B3跟单帧下20下30的逻辑。就是它对应的是整个一个市场里面一个波段资金的行为资金的行为。所以说咱们之前讲过，就是说在整个的一个操作里面的，我是让大家去自己规划2026年底仓是多少，动态仓是多少。那么底仓的逻辑就是要拿你睡得着觉的，然后动态仓就是要拿这个跟随市场B1、B2、B3单帧下20的这种节奏，活跃史诗现在不是不能开心，那么怎么逼论呢？
	所以又来了，你看咱们今天答疑，我让你现在轮了吗？不是，这为什么今天是有很多新人什么情况？2.1万，不是，这哥们儿这有什么可杠的？现在回答不好的阶段，就是只卖不买。然后如果如果你要买的话，你就是1600台费，你400吗？不是，这为什么？试着看的是吗？就是B一就就一楼听着点儿，然后趁三分钟过来问一下，不至于吧？
	就是当当活跃市值变成这种东西之后，你要做的就是手紧。手紧就是只卖不买。说如果你买出特别完美，想买这个，我他妈我想上车，我想买可以1600台位给400。
	很简单。
	要么就是我未来会讲的短线，短线不看这玩意儿，短线就是看哪天哪哪个票有有有有有这个大德军的攻击的惯性就干算了，师傅教不会是这个，这就是这样。有很多人是3800 4000刚来的，说如果你是3800 4000刚来的，最近这段时间大盘在4100这块磨，你没赚到钱是很正常的。但是因为你跟我们一些的老粉或者资金们一起来听，然后看看大家一起交作业。比如刚才有人交了万万朗的作业，你就不平衡，或者是什么什么飞天光纤是吧，长长什么什么长飞光纤是吧。比如这个你看你也是不开心，然后你就觉得***怎么就我学不会，不是慢慢来，大家都有个过程。咱就说长飞是最近活跃市值变绿买的吗？长飞买点在哪儿呢？
	长飞买点应该在这个位置。
	在这个位置B1吗？在这儿，常飞买点在这个位置，对吧？这是1月13号，1月13号在哪呢？在这儿。
	对吧？然后你。
	就说你就就告诉说活生生这不绿的，不不不，比如单针，比如说这个常规单针，比如这根单针，这是八十2、32，这不是特别标准的，单针下30对吧？对，长飞是纯拿过来的。没错。因为你们给我发的作业都是在这个位置，都是从这儿拿过来的。说当时这个位置尽早了，尽早之后说有人给我交作业，说这个没事儿。
	我看黄线说这个关键K我都画了，说在这个位置上105，说这根放量关键K就是这个暴力K键，我看105，然后包括前面这位置，他反正那给我画，你看那就往这边走走，是不是是不是这儿是不是105，看到了吗？这儿最低价，这边最低价是105，这儿最低价是105.33，对吧？所以说这把从胜利走向胜利的感觉终于找到了，没把我洗走。一个是关键K上下这号码归他管，那么下面最低价是在这儿，最高价在这块。
	这扒起来之后一直拿红线，拿拿拿白线，拿着拿着白线拿着这样走来，顶多是你在这儿可能被洗走，说这位置没看懂，说这是不是IS一对吧？咱们之前机车对手盘专门讲了，这就是喜人的。今儿洗你的说你走了行不行？可以，你从这儿进的是不是赚一板一个板的钱？从这儿到这儿，你说你鼻翼这儿近的，你113、100，是135走的，行不行？也赚钱了。这就是洗掉不坚定或者洗掉，洗掉不是家人的，对不对？
	洗完之后都是家人的，就走那走走起来了，所以我说就很多。你们3800 4000新来的刚补了几节课，在这一波看别人吃肉赚钱了，你们没有赚到就着急，别着急，大家都是这么过来的，你们这一波做的很好的朋友，我看那些ID都是很熟悉的，都是至少去年6 7月或者是924之后来的这波就不用着急，慢慢来。你一进来，你这就你直接你你你学个你上个三年，你就能直接考考北大，你不吹牛逼吗？所以说像。
	这种。
