	为了避免迟到，所以先开播了。Hello, 哥，几个晚上好声音行吗？
	晚上回去抱抱着那左两边，就是底下也举着那做做人，重要的是开心，对吧？你人很开人开心就行了，很简单，就是大家一起开心。比如说你看咱们说穿的这个嘴上没有把门的，各种*******什么的，什么乱七八糟7788的。但是你要注意他一点，他是不是从他的嘴里，从去年的145跟咱叫板之后，永远表面上对咱都是respect，又夸咱们的教育体制，又又夸咱们说我虽然看不懂他们，但是他们真牛逼是吧？然后又老动不动说我什么时候让我去，什么时候让我去，什么时候让让我去，为什么？
	哥们你一定要。
	想到这层原因，为什么？
	打服了是吗？我觉得不能说服，就是川也想明白了，就是现在。
	全世界。
	其实所有人都想明白了。只有中国的大A的股民还暂时没有明白。
	很正常，特别正常。
	所以这个就是由这个市场的历来的模式决定。下周大涨那那也不至于，但是后面肯定会大涨，但是哪天大涨不知道，对吧？我这话说的很严谨，有毛病吗？明白啥了？听我跟你聊。
	咱们。
	当局者迷是吧？不，其实高人是不迷的，高人早的去年145就已经看懂了。跟大家说三个事实跟大家说三个事实。第一个事实，去年观察站一开始想冲咱们来，对吧？对，今儿就是扯淡局，没有干货，没有一问就是没有他妈什么干货。没有，咱家一直就是吹牛逼的扯淡局。你看说三个事实，第一个事实，去年关税战冲咱们来的对吧？
	叭叭不停的叫。
	一到最后他什么喊到300是吧？像不像昨天晚上发的那个truth，就是*******。但是他就敢对波斯人*******，不敢对sneeze *******，对不对？你不敢。Respect我跟你讲他内心是respect他他妈好想再活500年，真的他真的很想当美国的千古一帝所以他动不动他说引经据典，paper tiger引经据典，无数个日日夜夜崇拜五帝，对吧？包括他为什么喷马克龙，哥们儿都研究过。我跟你讲，你不要小看他人，能坐在这个位置上一定是有东西。一会儿曹操，一会儿马克龙的，你想想是不是能对上，然后一会儿又pay tiger？伟伟人这方方面面人家做足功课，对人日夜夜翻遍古书跟史书一想，到底我如何才能成为美利坚合众国千古一帝？就像去年叫板，一直把最后气急败坏，300**500 800咱们不理他。
	最后最后个人盟友去了，最后中国跟全世界一样，都是20%。之前有一个10%芬太尼，什么20%芬太尼就还降了10%，降到了从20降到了10，总共30%。但是咱也没有被像什么日本、英国，然后他们这买美债也没有，韩国阿萨也没有。
	没有。
	所以那一把他相当于是做一个最后的试探，想再撑个墙，结果发现不行，确实不行了，力不从心了。从此就从那一刻就从那一刻他翻遍古书，无数个日日夜夜问自己问天问大地，更问问他自己，我到底是不是paper tiger，对，从此君王不早朝，天天高富帅。就是去年的那一把贸易战一打完，你就会发现。
	他彻底。
	这条心就死了，就知道这儿这确实动不了。所以这是第一个事实，就是说去年的贸易战弄完之后，咱们有像他其他的盟国那样，或者说像印度，或者像那种咱们失去了。
	什么没有，他的为了。
	维系他的面子，以及我们为了维持现状，全世界一起加20%，对吧？第二个事实，那要注意到第二个事实是什么？跟咱们这儿没有占到便宜，他就开始干嘛，世界其他地方想办法，又是唯美主义了，又是古巴，又是哥伦比亚。他怎么老是咱们这个有点咱们直播间的轨迹？是不是一会儿又哥伦比亚的，一会儿又委内瑞拉的？
	我说我之前留学的时候，我们宿舍最好一哥们儿，那委内瑞拉那哥们儿是吧？挺奇怪的。然后伊朗伊朗你看我之前给你们讲，我们同班同学也很奇怪，有点意思。格陵兰确实我不太涉及，格陵兰这个确实是我的足迹没有到那儿，反正就开始琢磨事儿。
	琢磨事儿你会发现。包括他去中东化缘，人送他747，乱七八糟这这这那弄弄半天，让那帮王爷们劝那帮王爷们前弄半天。最后你会。
	发现。
	在AI算力这块，咱们国内。
	的这些。
	所有的AI算力相关的公司的大的订单或什么机器人产业链。
	的订单。
	都是哪来的？等于说这哥们儿全世界各地抢，抢完之后变现，变现完了以后消费，那到哪消费呢？
	到哪儿。
	消费了呢？什么一会儿刺客一个大单是吧？勋的一会儿又又来一趟对吧？然后库克动不动库克都库克是不是都都住何同学家里了，我都我很是不是住tim家里？这是说杭州有房，苦苦消费是吧？苦苦消费。所以外面敲门这个中国话是不是就说中国话？
	所以第二个事实就是说你要关注他，他妈全世界这么热闹，到最后他抢来的钱钱花哪了，就是钱花哪去了，就人家自己OpenAI融融资什么cloud这边乱七八糟的人，那边都是十个十个锅，十个锅一个盖儿是吧？有人不分析过吗？还画过那个路径，就是这一圈十个锅就一个锅盖，盖这儿盖那还是盖这儿，也就是这盖缸盖上。我弄点钱，公司就得赚钱上三亚是吧？得得花在这动不动300亿创新药BD，一季度新闻联播。
	一季度相当于。
	去年什么半年还是全年的量，花哪了？所以哥们儿等于说是方方面面，我在全世界各地抢，对吧？最后你说你工资卡还得上交。
	你看这你不光说。
	你婚没没离成，你他妈还得最后是割地赔款，他妈交工资卡。咱们说的是事实，咱们是不是说事实说如果你中美真的脱钩，你方方面面你美国你就是你说跟咱们决裂，你要离你要净身出户是吧，或者说你要带着所有财产走你没走成，最后外面弄了一圈，**回来***交工资卡了，**对不对？维尼瑞拉的什么多少吨的一吨的黄金是吧？甭提市场一抛一折现8，马上打给***OpenAI，打给奥特曼小欧。不容易，家里不容易，就好不容易弄了点钱，不容易，省着点花，别他妈一天到晚的跟那***骚扰骚，所以人家奥特曼钱一到账，马上把他妈骚扰全关了，这故事不讲了，现在暂时是有点钱了，马上攻击烦扰光模块下单来了是吧？然后什么什么光伏过来下单来了。所以第二个事实，咱们只说事实，后面有演绎成分，但是事实是什么？是在整个新能源和AI算力的。
	包括高端制造。
	高端智能制造的这三条产品线上面。老美还在咱们这疯狂的苦苦的采购，你说外面你他妈本来家里就不富裕，缺缺钱，然后出去这儿抢那儿抢的，每天都都都急，都都他妈疾病了，住院了，是不是这操碎了心。
	然后这第二个。
	事实。第三个事实。
	我觉得。
	川真的是急坏了，说出了心里话。你知道你们看很多新闻，我觉得有三句话让我印象深刻，因为每天的新闻太多了。你就注意他处子发什么。第一句话是说我们美国不缺油，霍尔姆斯开不开跟他们我没关系，我们美国不绝油，你们谁要，你们就自己去拿去抢，你们自己去讲这句话说的对，是吧？这绝对是事实。老美世界第二大产油国，这他妈人不缺油，我的人不需要。
	福尔摩斯被。
	以色列圈进去了，被背后的整个犹太资本圈进去了，框进去了，人家人真不缺，美国不缺资源。
	抢那么些也用不了。
	所以他这句话我觉得真的是真心话。那意思就是我他妈不管了我他妈不管了，我他捅一大篓子，然后所有人都指向他，为什么？你开始吹牛逼来的，你你你要你说你要让人颠覆政权吗？你吹牛逼来的，结果全世界都怪他是吧？然后就说做他也是车钥匙，冲他那边那那帮姨太太把车钥匙一一一扔，我不管了，你们自己弄，我又不不缺油，对吧？所以这句话一定是真话。
	第二句话他说是你们不要再找我，你们找那东方神秘大国去去处理他。行，你们找他哥们实话，你们我不知道你们有些人注意没注意到美股为什么上反弹了两天。一个是他们也有国家队，华尔街的那帮他们也有国家队，人们100 100多年了，人家很完善。一个是他们也有国家队，一个是重要的。
	你要注意到美股两天反弹的背景是什么？是咱们这边说话了，第一次说话，说我们要么过问一下，是什么情况，是什么情况，怎么了是吧？其实一直就这样眯着人灭了，是什么什么情况，怎么了？就是正儿八经解决这个问题，虽然咱们说什么巴基斯坦，什么你出来什么土耳其，你得调个警去吹牛逼，你这这你是没戏。这事儿最后还是就得看一北一东，要么是它北边的对吧，要么是它东边的，最后还得是这样。所以等于说咱们当时不表了个态，让美国人民看到了希望。然后这事儿大，这他来了就行了，就有盼头有盼头，有盼头。所以川儿说的这第二句话是对的。
	是吧？
	说这事儿你甭管我了，你们都找他去，对吧？但咱们他咱们上周上次直播说了，这不行，三辞三让，对吧？这我们不行，我们什么叫我们不行，你牛逼还是你还得是您，还得是串串爷，你来弄，我们就看看怎么了，发生什么什么情况，对吧？咱这儿就是作作着就跟那什么似的，对吧？咱这儿就眯着，作作什么怎么了什么事？咱这咱这就玩儿，加班加点儿对吧，让他再加紧生产，是不是？马上后面还得修桥去，是不是重庆路桥，你们刚才说什么这桥那桥，北北新路路路桥，什么重庆路路路路桥，中国一建，什么中铁二局八就他妈过去了是吧？
	你所以他这第二句一定是真的，就这事说实话，在这欧亚大陆这个地界上，人那边号称6000年，阿拉伯也是人家以前阿拉伯国家人一己之力，一代丝绸之路人家一己之力，你到这儿你说话不好使，是不是不好使？所以他这句话第二句也是对的。第三句就是他昨天晚上说的，开始发挥了，气急败坏就真的是没招了，但他穿穿也没招了，真没招了是吧？戳戳戳也真没招了，所以开始骂。一般骂就说明破防了是吧，破防了对吧？Girls help girls是不是对不对？开始破防了，所以他这个三句话一定是对的。
	所以第三个事实就是说他如今统称的这个大篓子，他是解决不了，他的盟友也更没有能力解决。这个时候说实话就一个是对吧？一个是精的。那金子那边抢，我不能停，哥们儿，你这你接着打，你马上我让你一天一个高科技，我给你叠buff，***我这跟乌克兰，***我我这虽然说我跟乌克兰这事儿没完，但是我所有的buff都让给你，你要多少？来来，哥们儿我帮你我帮你看野，我帮你看野，你来来来来来，是吧？那这buff是谁呢？Made in伊朗是吧？这肯定你所有的，说实话你这所有的就是所有的那个兵那个兵器上现在最忙的就是那个雕刻师，就那个那个刻刻石刻石狮，天天**，这就赶紧先打打磨打磨，打磨打磨打磨，然后刻刻妹妹的音，YILANG，不对，应该是1111，反正就我一U，就那个伊朗一l py朗made in伊朗。
	就是你这肯定不能停。
	所有的buff都让给你哥们儿，这个管我们先可以少嘬两口，先得easy让伊朗人民先嘬上是吧？就最后那一下，就轻的说哥哥没事，我我这行我这行，最近乌克兰那边他妈有点消消消消停，我这行来赶赶紧赶紧让让朗朗子嘬两口。对吧？对，made in伊朗吗？
	伊朗朗这一夜之间？伊朗的黑科技雨后春笋。说实话咱们客观讲说你真给美国45天说停战，让他把他们所有的航母，什么海军陆战队方面陆军***都掉掉齐了。20万蹦迪开始打暴弱，对吧？你就也很很难受，大家方便世界还是很难受的，因为没有必要。但是此情此景，此时此刻，恰如彼时彼刻。
	在这个世界上我就问切格瓦拉的偶像是谁啊？切格瓦拉是吧？南美人根本就不会打仗，每天就是吃喝玩乐。来个切格瓦拉就已经**就成了感觉自己是不是七棵八的偶像，是人是吧？那他们等于说最擅长的就是游击战，有游击战对吧？
	敌进我退敌。
	疲我扰，敌退我打，是不是请君入梦等你来，你不来的时候，我偷你。所以等于说现在完全刚才我问了，我说咱们今夜都是波斯人，这仗停不停，能不能听川说咱停不打不可能，我的钱都花了，人那边人都死了，咱这***票钱也都花了，军费也都付了，***他妈接着打，怎么热闹怎么打，对不对？感受一下二战时候美国人民的快乐。你去想象一下你们每天该吃的野人吃着一勺米饭？吃的吉野家，什么真功夫？吃的海底捞。然后把晚上回家听听Z哥这吹牛逼，然后一会儿一睡觉，第二天把早上一起床往马桶上一坐，手机一打开，今儿他妈伊朗就那怎么打打哪了？
	这种快乐就是人家上世纪三四十年代美国人民的快乐，就是美国人民的快乐，好好感受这种快乐，好好打，打完之后说对当时的市场有没有影响？有有啊，打打完之后怎么着呢？是不是打完之后怎么着？这不还得我介绍吗？
	你咱说伊朗的，就是咱咱咱就是就我完全呼吁世界和平，但是咱就说说伊朗，伊朗炸的那个大桥是不是那种级别？虽然跟咱们粤港澳差的***差太多了，但是哥们儿咱说站那个桥，这不得一些相关公司值他妈两个板。到时候这而且这条说实话你要交给人西方去去修修个十几二十年的，是吧？你这咱咱这马马马马上蹬蹬，就今天此时此刻河南山东，这这山高四省八一调集川川军八什么直接就国航开过去。
	六个月是吧？
	六个月，然后这中国交界，什么就这这箭那箭的那都就都去招标围标，跟那哥们儿干围标都都。
	得这样。
	所以别着急，你现在咱们说此时此刻，现在不就记住，现在不是4200，现在已经。
	3800了。
	咱们说钱都交了，不能停，对不对？那他既然钱交了，说咱这钱是白交吗？肯定不是，对吧？后面你就算你加个零给我们还回来。
	你得付利息。
	以前有一个新闻，就河南那边什么一个大卡车在高速上翻翻车了，里边有30吨井井盖，是吧？我纯纯听说的，当时的那个微博，然后一夜之间扒没了，然后当地的非常生气，然后又又招呼说不行，你这不能败坏河南的名声，你得都给我还过来。结果还了3.3吨，还多了0.33吨，对不对？说明河南人民牛逼，给利息，对吧？这当时的新闻，是不是这都有利息，所以别着急，不用着急，慢慢来，反正咱们钱都付了是吧中是吧中，绝对中。
	我上周路过了一下洛阳，我路过了一下洛阳，**怎么全都是胖东来，有一个陶陶小胖还是什么？有一个陶小胖，还有一个还有一个，还有一个是什么？我真牛逼，现在商业太牛逼了，那叫什么来着？去服务区了，吗哪有服务区，哪有服务区？
	胖家军。
	的是吗？我我我不知道，就真牛逼，就现在我简直就是就太卷了。我们我们北京就没有连就是连国内的，连胖东来的一半的这种水平的超值都没没有北京，没有洛阳全市，就莫名其妙叫陶小胖是吧？胖叫我真牛逼。我看了我以为开沃尔玛了，我以为开cos好了，我的人就多就可以。长申华豫佰家先锋生活不是名字，我没看我觉得这太先进了，太先进了，从此也就是我印证了。
	说真的你们很多河南的朋友啊老问我说你们如果不是顶级智商出来卷，出来卷去去去深圳、去杭州、去上海，然后去北京、去成都卷，就千万别在河南卷。中国自古的这个汉文化的发祥地绝对不一样。真的，这太牛逼了。所以我现在我就盼着说什么东来，什么这种什么这胖那胖的这些来北京赶紧给我们提升。这真的真的就是真的从逛完洛阳的超市一回北京这就点大了。
	所以为什么京东在北京呢？哥们你去思考一下，为什么京东在北京呢？京东为什么不是在洛阳呢？对吧？就强哥刘京东为什么没有在洛阳郑州创业呢？是不是他要想一想要想一想。
	确实洛阳超市好多东西买不就整个那种，就是你会觉得**，这就是比如说其他的，咱们先按下不表，咱只说超市这一块就登机。***这个六边形，把这角就顶上面了，顶上面了，真牛逼。所以你们河南的朋友真的是有福。你们有线下的那么好的一个零售超市，那种卖场，那种风格，那种消费的环境可以去去体验。
	北京不行，太差，没有，什么都没有。东子在大连坐坐游艇的是吗？说回来，对对对，那个那个扯扯扯多了，扯扯扯扯多了。刚才聊哪儿了？泡泡跟蜜雪都郑州的对吧？所以说牛不牛逼，牛不牛逼？所以我说真的一个泡泡，对，泡泡世界杯那没抢到，**气死我了。
	一个泡泡一个蜜雪，是不是现在出去卷国外了，是不是出去卷国外了？这个就是跟国内所有人，不好意思，哥们儿，你安徽负责新的生产力，我们负责新消费，们我们先走一步，我们先出去看看，泡泡新乡的是吗？行了，你们河南人内部就别抢了。
	行了，在我们外地人看来，那都是你们河南的，大河南，都是你们的，就不要抢了。什么一会儿新疆洛阳我也分不清楚，就这意思好不好？就这意思，肿就完了。对，种，蜜雪也新疆的是吗？行了，你们内部就别抢了。巴奴也河南的，巴奴不是成都的，不是四川的。哥们儿巴奴是那个。
	哥们儿，巴奴叫什么。
	卡来着？那叫巴奴的最顶级，那叫什么卡来着？我看看，**那太牛逼了。我看看巴奴很久没去了，火焰中心是不是已经***都巴拉努，每次一去那个小小摆件往那一卡哪看***级别来的。赌王对对对，赌赌王，赌王就是他的最高那个级别。赌王但是很久没去了，这边没有，以前公司那边有。
	一巴奴赌赌神。
	反正就那最高的那个八小桌一立，那是河南的，真牛逼。那我也是河南的，从今天我我我宣布，这回去了趟洛阳之后，我发现洛阳真好，所以洛阳纸贵。是不是洛阳纸贵，我也是河南的行吗？从今天开始，我河南中不中？你就河南了，是下一步准备郑州或者是洛阳看看房子，没根儿了是吗？
	不咱那咱实话说，中超肯定是我我我国安北京官，你这肯定建业还是不行，建业姥姥跟我们死磕没必要。那那在中超这个范畴之内，我我我咱们先按下不表开封好是吗？就是看包公祠是这意思吗？反正从今天开始我恨难他，行不行？你就看中国新消费，刚才说了巴奴蜜雪泡泡那炮东来，然后这陶小胖那方方面面的这真行。对，洛阳物价确实便宜。我准备吃你们那个，你们那叫什么来的？**，*们那个面鱼儿，然后弄在靠近三门峡，我这个我是穿的，在三门峡，三门峡下面有一个什么地儿，***看一下，三门峡操那真好吃，我想想那叫什么来着？
	我看看，你们这有没有提醒我那名字，我没有记住我看看。今儿没有正题，没有什么什么没有干货，没有，没有，今儿就是蛋逼跟吹牛逼，我我我拍照了，**那真好吃。
	胡萝卜的卜胡胡波、胡波，你们吃过吗？你们吃过那湖泊吗？是吧？你们管我，我搜了，估计你们90%人没吃过糊糊，所以我说我河南的有问题吗？糊糊没吃过，是不是都没听说过？
	胡巴，这个三一太好吃了，太好吃了，所以真的他琥珀都没吃过。他们说说不要跟我扯河南人，他妈你这琥珀都没吃过，你是什么河南人？是不是？你们北京都吃过糊糊吧？嗯，真好吃得劲儿。是啊，这不是山西的吗？湖泊是山西的还是河南的？我为什么会。
	在河南能吃上胡巴呢？
	抬了是吗？炒饼，就类似于那种玩意儿，吃过胡萝卜是吗？
	山西的是吗？这是河南。
	灵宝的，你看这样你们自己山西跟河南自己争，好不好？尴尬了是吗？抬了是吗？**，*非常确定这个聚宝园肯定是北京的。咱们但是咱说这个说你们这个串台了是吗？那个不是糊，你们自己内内内内部协调一下好吧。
	山西的是吗？河南西部，那河南的西部不就跟山西是挨着的吗？上北下南左西，对不对？没问题。你看是不是三门峡跟是不是。
	挨着交界处，所以说。
	这个东西就是按下不表，按下不表，你们自己蒸好，挨着，是吧？哥们儿3加XX270多分，当年给全年级写这个考试攻略的，尴尬了是吗？我再确认一下，到底这个东西是山西的还是河南的。但是我住在河南迟到的，所以我觉得很好吃。
	这个踢球好样的，哥们儿不用解围，不用解围该抬也得抬，好不好？该抬也得抬，三者交界是吗？山西运运城，山西、陕西、河南都有啊，上海。没事，只要不是说百分百，你们认为是山西的就还行，就还行，都有的是吧？行，咱们这块儿先来，坤震我一下，不闹。禅师名字很熟，分个板哥，下次路过洛阳，我请您喝酒，不会再去，不会喝，我不喝酒，我正常人谁喝酒，对吧？不好，不会，这哥们不好意思，不会喝酒。
	***。
	这个QQ卡了。
	来了。
	找这么多IC我都没没看到。Quick life来了，477天提督，感谢，都是咱家商务豪灯。咱们刚才说到哪儿了？刚才好像。
	岔开话题了。
	刚刚才说到说说到哪来的。
	说川儿。
	对吧？川儿聊天儿聊到哪儿了？这个怂了不是怂，做人尤其是做股票，对吧？你不要死多头，也不要死空头头滑头方就教你做人，对吧？
	你咱说实话，你说你大丈夫，你征战沙场对吧？在沙场你在酒厂逞什么英豪，对不对？那没关系，不中路桥，made伊朗。对对对，所以你看现在无论是伊朗北边的这个金子，还是说东边这个老印子，就是不会让它停的。老印子不光不让他停，还给他钱。你发现。
	老爷子真牛逼。
	就是人家什么人家为什么人家说实话，人家也是古四大文明古国之一，智慧。俄乌打仗全世界制裁俄罗斯，他抨击买俄罗斯石油，而且还官宣开新闻发布会是吧，官宣买买他们俄罗斯石油。然后这美伊战争，***美国这边一直我到全世界弄伊朗老印子宣布我买伊朗石油，买伊朗石油真神秘，是吧？

（内容由AI生成）
